id_venta,id_producto,nombre_producto,cantidad,precio_unitario,importe
75,3,sprite 1.5l,4,4964,19856
75,2,pepsi 1.5l,5,4973,24865
76,22,medialunas de manteca,4,2069,8276
76,23,bizcochos salados,4,2380,9520
76,24,galletitas chocolate,1,1305,1305
76,11,café molido 250g,2,2053,4106
77,53,lavandina 1l,2,1664,3328
77,41,aceite de girasol 1l,1,860,860
77,34,turrón 50g,5,503,2515
77,98,desengrasante 500ml,2,2843,5686
77,39,helado vainilla 1l,2,469,938
78,37,mermelada de durazno 400g,3,3196,9588
78,79,hamburguesas congeladas x4,5,2420,12100
78,17,queso cremoso 500g,2,4834,9668
78,85,jugo en polvo naranja,1,1856,1856
78,39,helado vainilla 1l,2,469,938
79,81,aceitunas verdes 200g,2,2520,5040
79,56,papel higiénico x4,2,2532,5064
80,39,helado vainilla 1l,5,469,2345
80,30,maní salado 200g,3,4875,14625
80,41,aceite de girasol 1l,5,860,4300
81,10,yerba mate intensa 1kg,2,4883,9766
82,38,mermelada de frutilla 400g,1,1584,1584
82,28,papas fritas clásicas 100g,2,936,1872
82,29,papas fritas onduladas 100g,5,1868,9340
82,82,aceitunas negras 200g,2,2394,4788
83,5,agua mineral 500ml,2,4777,9554
83,26,alfajor triple,2,1001,2002
83,73,gin 700ml,5,1561,7805
83,51,sal fina 500g,2,1745,3490
84,83,queso untable 190g,5,1830,9150
84,76,pizza congelada muzzarella,4,4286,17144
85,32,chocolate amargo 100g,4,2234,8936
85,80,helado de frutilla 1l,2,1981,3962
86,66,cerveza negra 1l,2,1533,3066
86,1,coca cola 1.5l,4,2347,9388
86,13,té verde 20 saquitos,5,2383,11915
86,41,aceite de girasol 1l,3,860,2580
87,53,lavandina 1l,2,1664,3328
87,86,jugo en polvo limón,2,4090,8180
88,7,jugo de manzana 1l,5,3269,16345
88,53,lavandina 1l,5,1664,8320
88,8,energética nitro 500ml,4,4218,16872
89,72,ron 700ml,2,3876,7752
90,79,hamburguesas congeladas x4,4,2420,9680
90,6,jugo de naranja 1l,2,4170,8340
91,57,servilletas x100,3,4520,13560
92,10,yerba mate intensa 1kg,2,4883,9766
92,43,salsa de tomate 500g,4,887,3548
93,80,helado de frutilla 1l,4,1981,7924
93,66,cerveza negra 1l,3,1533,4599
93,91,desodorante aerosol,3,4690,14070
94,24,galletitas chocolate,1,1305,1305
94,86,jugo en polvo limón,5,4090,20450
94,98,desengrasante 500ml,2,2843,5686
95,72,ron 700ml,5,3876,19380
95,12,té negro 20 saquitos,1,570,570
96,81,aceitunas verdes 200g,3,2520,7560
96,68,vino blanco 750ml,1,2684,2684
96,11,café molido 250g,2,2053,4106
96,50,azúcar 1kg,3,727,2181
97,59,chicle menta,5,3612,18060
97,36,dulce de leche 400g,1,2559,2559
97,4,fanta naranja 1.5l,3,2033,6099
98,28,papas fritas clásicas 100g,4,936,3744
98,61,miel pura 250g,1,4982,4982
98,29,papas fritas onduladas 100g,1,1868,1868
98,83,queso untable 190g,3,1830,5490
99,40,helado chocolate 1l,5,1215,6075
100,13,té verde 20 saquitos,3,2383,7149
100,18,queso rallado 150g,4,3444,13776
100,58,caramelos masticables,2,4752,9504
100,57,servilletas x100,1,4520,4520
100,9,yerba mate suave 1kg,4,3878,15512
101,34,turrón 50g,4,503,2012
102,78,verduras congeladas mix,3,4289,12867
102,36,dulce de leche 400g,3,2559,7677
103,79,hamburguesas congeladas x4,5,2420,12100
103,43,salsa de tomate 500g,5,887,4435
103,34,turrón 50g,1,503,503
103,70,fernet 750ml,1,4061,4061
104,95,mascarilla capilar,2,1581,3162
104,68,vino blanco 750ml,3,2684,8052
104,68,vino blanco 750ml,5,2684,13420
105,13,té verde 20 saquitos,2,2383,4766
105,4,fanta naranja 1.5l,4,2033,8132
105,58,caramelos masticables,2,4752,9504
105,82,aceitunas negras 200g,4,2394,9576
105,43,salsa de tomate 500g,5,887,4435
106,88,caldo concentrado carne,3,2570,7710
107,7,jugo de manzana 1l,4,3269,13076
107,11,café molido 250g,2,2053,4106
107,12,té negro 20 saquitos,4,570,2280
107,5,agua mineral 500ml,4,4777,19108
108,90,toallas húmedas x50,4,2902,11608
109,18,queso rallado 150g,1,3444,3444
109,74,whisky 750ml,1,2953,2953
109,20,pan lactal blanco,2,1571,3142
109,44,arroz largo fino 1kg,5,2979,14895
110,6,jugo de naranja 1l,1,4170,4170
110,59,chicle menta,3,3612,10836
110,6,jugo de naranja 1l,5,4170,20850
111,97,limpiavidrios 500ml,4,872,3488
111,93,cepillo de dientes,3,2142,6426
111,20,pan lactal blanco,2,1571,3142
111,23,bizcochos salados,4,2380,9520
112,55,shampoo 400ml,1,1407,1407
112,21,pan lactal integral,4,272,1088
112,43,salsa de tomate 500g,5,887,4435
112,13,té verde 20 saquitos,2,2383,4766
112,59,chicle menta,1,3612,3612
113,53,lavandina 1l,2,1664,3328
113,92,crema dental 90g,3,2512,7536
114,8,energética nitro 500ml,1,4218,4218
114,84,queso azul 150g,1,1645,1645
114,10,yerba mate intensa 1kg,1,4883,4883
114,55,shampoo 400ml,5,1407,7035
114,92,crema dental 90g,4,2512,10048
115,17,queso cremoso 500g,4,4834,19336
115,97,limpiavidrios 500ml,5,872,4360
115,95,mascarilla capilar,4,1581,6324
115,84,queso azul 150g,2,1645,3290
116,65,cerveza rubia 1l,1,2423,2423
116,35,barrita de cereal 30g,2,4430,8860
116,42,vinagre de alcohol 500ml,4,1195,4780
116,54,jabón de tocador,5,1592,7960
116,90,toallas húmedas x50,4,2902,11608
117,67,vino tinto malbec 750ml,4,4719,18876
117,61,miel pura 250g,2,4982,9964
118,68,vino blanco 750ml,5,2684,13420
118,68,vino blanco 750ml,3,2684,8052
118,70,fernet 750ml,2,4061,8122
118,93,cepillo de dientes,3,2142,6426
118,50,azúcar 1kg,2,727,1454
119,45,fideos spaghetti 500g,5,745,3725
120,20,pan lactal blanco,5,1571,7855
