id_cliente,ciudad,id_producto,categoria,nombre_producto,cantidad,precio_unitario,importe,medio_pago,mes
57,rio cuarto,91,higiene personal,desodorante aerosol,3,4690,14070,transferencia,8
68,villa maria,3,alimentos,sprite 1.5l,4,4964,19856,tarjeta_debito,1
86,cordoba,76,alimentos,pizza congelada muzzarella,4,4286,17144,efectivo,3
94,mendiolaza,71,alimentos,vodka 700ml,3,508,1524,tarjeta_debito,10
94,mendiolaza,43,alimentos,salsa de tomate 500g,5,887,4435,transferencia,7
23,rio cuarto,24,alimentos,galletitas chocolate,4,1305,5220,tarjeta_debito,4
31,villa maria,21,alimentos,pan lactal integral,5,272,1360,transferencia,9
42,alta gracia,70,alimentos,fernet 750ml,3,4061,12183,tarjeta_debito,12
68,villa maria,26,alimentos,alfajor triple,1,1001,1001,tarjeta_credito,10
61,rio cuarto,17,alimentos,queso cremoso 500g,1,4834,4834,efectivo,11
28,cordoba,34,alimentos,turrón 50g,4,503,2012,tarjeta_debito,7
29,alta gracia,75,alimentos,licor de café 700ml,1,3204,3204,efectivo,8
21,alta gracia,61,alimentos,miel pura 250g,5,4982,24910,tarjeta_debito,2
87,alta gracia,35,alimentos,barrita de cereal 30g,1,4430,4430,tarjeta_debito,6
83,rio cuarto,62,alimentos,stevia 100 sobres,4,3848,15392,tarjeta_debito,5
59,villa maria,49,alimentos,harina de trigo 1kg,2,2512,5024,tarjeta_debito,2
1,carlos paz,29,alimentos,papas fritas onduladas 100g,2,1868,3736,transferencia,11
53,mendiolaza,77,alimentos,empanadas congeladas,1,4778,4778,efectivo,10
57,rio cuarto,33,alimentos,chocolate con leche 100g,1,1255,1255,efectivo,7
7,rio cuarto,14,alimentos,leche entera 1l,1,1723,1723,tarjeta_credito,3
44,carlos paz,36,alimentos,dulce de leche 400g,5,2559,12795,tarjeta_credito,5
52,rio cuarto,70,alimentos,fernet 750ml,5,4061,20305,tarjeta_debito,8
68,villa maria,95,higiene personal,mascarilla capilar,4,1581,6324,transferencia,11
13,carlos paz,93,higiene personal,cepillo de dientes,3,2142,6426,tarjeta_credito,5
46,alta gracia,68,alimentos,vino blanco 750ml,5,2684,13420,transferencia,7
63,cordoba,8,alimentos,energética nitro 500ml,5,4218,21090,tarjeta_debito,4
44,carlos paz,74,alimentos,whisky 750ml,2,2953,5906,tarjeta_debito,11
52,rio cuarto,49,alimentos,harina de trigo 1kg,2,2512,5024,tarjeta_credito,6
98,cordoba,78,alimentos,verduras congeladas mix,5,4289,21445,tarjeta_debito,7
92,alta gracia,74,alimentos,whisky 750ml,4,2953,11812,transferencia,9
52,rio cuarto,29,alimentos,papas fritas onduladas 100g,1,1868,1868,tarjeta_credito,4
48,cordoba,80,alimentos,helado de frutilla 1l,3,1981,5943,transferencia,5
63,cordoba,16,alimentos,yogur natural 200g,4,4613,18452,tarjeta_debito,1
79,carlos paz,54,higiene personal,jabón de tocador,4,1592,6368,tarjeta_debito,10
56,rio cuarto,32,alimentos,chocolate amargo 100g,5,2234,11170,transferencia,2
10,cordoba,41,alimentos,aceite de girasol 1l,5,860,4300,efectivo,3
76,mendiolaza,64,alimentos,avena instantánea 250g,3,3953,11859,tarjeta_credito,5
2,carlos paz,84,alimentos,queso azul 150g,1,1645,1645,tarjeta_debito,9
87,alta gracia,74,alimentos,whisky 750ml,2,2953,5906,tarjeta_debito,11
43,mendiolaza,47,alimentos,garbanzos 500g,5,2939,14695,tarjeta_debito,8
90,rio cuarto,25,alimentos,galletitas vainilla,1,4015,4015,tarjeta_credito,1
52,rio cuarto,23,alimentos,bizcochos salados,2,2380,4760,transferencia,10
67,alta gracia,96,limpieza,suavizante 1l,4,4920,19680,transferencia,5
9,carlos paz,65,alimentos,cerveza rubia 1l,1,2423,2423,transferencia,4
79,carlos paz,26,alimentos,alfajor triple,4,1001,4004,tarjeta_credito,5
52,rio cuarto,18,alimentos,queso rallado 150g,4,3444,13776,tarjeta_credito,5
55,mendiolaza,79,alimentos,hamburguesas congeladas x4,1,2420,2420,transferencia,12
46,alta gracia,1,alimentos,coca cola 1.5l,4,2347,9388,efectivo,8
45,rio cuarto,42,alimentos,vinagre de alcohol 500ml,4,1195,4780,transferencia,5
28,cordoba,7,alimentos,jugo de manzana 1l,1,3269,3269,transferencia,1
33,rio cuarto,59,alimentos,chicle menta,2,3612,7224,tarjeta_debito,7
74,carlos paz,98,limpieza,desengrasante 500ml,5,2843,14215,efectivo,12
18,carlos paz,53,limpieza,lavandina 1l,5,1664,8320,tarjeta_debito,6
67,alta gracia,68,alimentos,vino blanco 750ml,3,2684,8052,tarjeta_debito,7
44,carlos paz,60,alimentos,chupetín,5,4647,23235,tarjeta_debito,12
40,rio cuarto,24,alimentos,galletitas chocolate,3,1305,3915,tarjeta_debito,11
9,carlos paz,96,limpieza,suavizante 1l,4,4920,19680,efectivo,7
55,mendiolaza,65,alimentos,cerveza rubia 1l,4,2423,9692,tarjeta_credito,10
7,rio cuarto,71,alimentos,vodka 700ml,4,508,2032,transferencia,7
65,alta gracia,38,alimentos,mermelada de frutilla 400g,1,1584,1584,tarjeta_debito,12
62,carlos paz,42,alimentos,vinagre de alcohol 500ml,4,1195,4780,tarjeta_credito,3
35,mendiolaza,10,alimentos,yerba mate intensa 1kg,1,4883,4883,efectivo,12
6,villa maria,20,alimentos,pan lactal blanco,2,1571,3142,tarjeta_credito,7
19,mendiolaza,74,alimentos,whisky 750ml,4,2953,11812,tarjeta_debito,4
25,rio cuarto,94,higiene personal,hilo dental,1,1418,1418,tarjeta_debito,11
75,rio cuarto,87,alimentos,sopa instantánea pollo,1,1679,1679,tarjeta_debito,4
1,carlos paz,50,alimentos,azúcar 1kg,5,727,3635,transferencia,4
54,alta gracia,29,alimentos,papas fritas onduladas 100g,2,1868,3736,efectivo,10
71,villa maria,12,alimentos,té negro 20 saquitos,2,570,1140,efectivo,8
13,carlos paz,29,alimentos,papas fritas onduladas 100g,4,1868,7472,tarjeta_credito,8
86,cordoba,90,higiene personal,toallas húmedas x50,3,2902,8706,tarjeta_credito,7
82,alta gracia,15,alimentos,leche descremada 1l,2,2538,5076,efectivo,5
40,rio cuarto,22,alimentos,medialunas de manteca,1,2069,2069,tarjeta_credito,11
82,alta gracia,84,alimentos,queso azul 150g,3,1645,4935,transferencia,6
84,cordoba,15,alimentos,leche descremada 1l,5,2538,12690,efectivo,4
11,villa maria,7,alimentos,jugo de manzana 1l,5,3269,16345,tarjeta_debito,7
16,rio cuarto,16,alimentos,yogur natural 200g,3,4613,13839,tarjeta_credito,6
28,cordoba,50,alimentos,azúcar 1kg,1,727,727,efectivo,7
69,rio cuarto,34,alimentos,turrón 50g,1,503,503,tarjeta_debito,10
4,carlos paz,57,limpieza,servilletas x100,1,4520,4520,transferencia,6
57,rio cuarto,24,alimentos,galletitas chocolate,1,1305,1305,efectivo,10
91,mendiolaza,90,higiene personal,toallas húmedas x50,3,2902,8706,tarjeta_credito,12
52,rio cuarto,84,alimentos,queso azul 150g,4,1645,6580,efectivo,3
81,carlos paz,74,alimentos,whisky 750ml,4,2953,11812,transferencia,9
64,villa maria,27,alimentos,alfajor simple,3,2502,7506,tarjeta_debito,11
13,carlos paz,66,alimentos,cerveza negra 1l,2,1533,3066,tarjeta_credito,1
84,cordoba,13,alimentos,té verde 20 saquitos,2,2383,4766,transferencia,6
80,mendiolaza,23,alimentos,bizcochos salados,3,2380,7140,tarjeta_debito,10
34,villa maria,28,alimentos,papas fritas clásicas 100g,5,936,4680,tarjeta_debito,7
25,rio cuarto,41,alimentos,aceite de girasol 1l,1,860,860,efectivo,4
95,rio cuarto,34,alimentos,turrón 50g,1,503,503,tarjeta_credito,8
59,villa maria,47,alimentos,garbanzos 500g,5,2939,14695,efectivo,1
45,rio cuarto,4,alimentos,fanta naranja 1.5l,1,2033,2033,tarjeta_credito,5
45,rio cuarto,94,higiene personal,hilo dental,1,1418,1418,tarjeta_credito,3
27,rio cuarto,17,alimentos,queso cremoso 500g,4,4834,19336,transferencia,12
38,alta gracia,84,alimentos,queso azul 150g,4,1645,6580,tarjeta_credito,3
60,alta gracia,11,alimentos,café molido 250g,4,2053,8212,tarjeta_debito,7
52,rio cuarto,81,alimentos,aceitunas verdes 200g,5,2520,12600,tarjeta_debito,10
71,villa maria,81,alimentos,aceitunas verdes 200g,1,2520,2520,efectivo,7
57,rio cuarto,71,alimentos,vodka 700ml,2,508,1016,tarjeta_credito,11
27,rio cuarto,100,limpieza,trapo de piso,4,4854,19416,efectivo,3
34,villa maria,50,alimentos,azúcar 1kg,3,727,2181,efectivo,12
41,alta gracia,67,alimentos,vino tinto malbec 750ml,4,4719,18876,tarjeta_debito,11
11,villa maria,83,alimentos,queso untable 190g,4,1830,7320,tarjeta_debito,1
53,mendiolaza,86,alimentos,jugo en polvo limón,1,4090,4090,efectivo,8
21,alta gracia,19,alimentos,manteca 200g,3,3251,9753,tarjeta_credito,10
45,rio cuarto,14,alimentos,leche entera 1l,5,1723,8615,tarjeta_debito,8
33,rio cuarto,90,higiene personal,toallas húmedas x50,5,2902,14510,efectivo,11
21,alta gracia,48,alimentos,porotos negros 500g,5,4462,22310,efectivo,11
39,alta gracia,55,higiene personal,shampoo 400ml,1,1407,1407,tarjeta_debito,8
76,mendiolaza,40,alimentos,helado chocolate 1l,1,1215,1215,transferencia,12
82,alta gracia,57,limpieza,servilletas x100,2,4520,9040,tarjeta_debito,5
86,cordoba,57,limpieza,servilletas x100,3,4520,13560,transferencia,3
12,alta gracia,68,alimentos,vino blanco 750ml,4,2684,10736,efectivo,6
77,villa maria,78,alimentos,verduras congeladas mix,2,4289,8578,efectivo,3
14,carlos paz,95,higiene personal,mascarilla capilar,4,1581,6324,transferencia,12
49,rio cuarto,71,alimentos,vodka 700ml,2,508,1016,tarjeta_credito,8
5,cordoba,24,alimentos,galletitas chocolate,1,1305,1305,tarjeta_credito,12
59,villa maria,65,alimentos,cerveza rubia 1l,3,2423,7269,efectivo,11
100,cordoba,15,alimentos,leche descremada 1l,4,2538,10152,transferencia,5
30,alta gracia,69,alimentos,sidra 750ml,5,744,3720,transferencia,12
65,alta gracia,38,alimentos,mermelada de frutilla 400g,4,1584,6336,tarjeta_debito,4
56,rio cuarto,78,alimentos,verduras congeladas mix,1,4289,4289,efectivo,12
71,villa maria,76,alimentos,pizza congelada muzzarella,4,4286,17144,tarjeta_credito,10
26,alta gracia,33,alimentos,chocolate con leche 100g,4,1255,5020,tarjeta_credito,8
44,carlos paz,25,alimentos,galletitas vainilla,4,4015,16060,tarjeta_debito,11
22,alta gracia,59,alimentos,chicle menta,2,3612,7224,efectivo,3
55,mendiolaza,83,alimentos,queso untable 190g,5,1830,9150,tarjeta_credito,6
31,villa maria,33,alimentos,chocolate con leche 100g,4,1255,5020,transferencia,11
5,cordoba,60,alimentos,chupetín,4,4647,18588,transferencia,4
63,cordoba,70,alimentos,fernet 750ml,2,4061,8122,tarjeta_credito,3
10,cordoba,82,alimentos,aceitunas negras 200g,3,2394,7182,efectivo,1
49,rio cuarto,90,higiene personal,toallas húmedas x50,2,2902,5804,tarjeta_credito,3
81,carlos paz,100,limpieza,trapo de piso,2,4854,9708,tarjeta_debito,8
84,cordoba,23,alimentos,bizcochos salados,4,2380,9520,tarjeta_debito,9
89,rio cuarto,92,higiene personal,crema dental 90g,3,2512,7536,tarjeta_debito,11
51,rio cuarto,48,alimentos,porotos negros 500g,4,4462,17848,efectivo,2
86,cordoba,79,alimentos,hamburguesas congeladas x4,4,2420,9680,tarjeta_credito,8
48,cordoba,32,alimentos,chocolate amargo 100g,3,2234,6702,tarjeta_credito,11
13,carlos paz,50,alimentos,azúcar 1kg,4,727,2908,tarjeta_credito,6
62,carlos paz,48,alimentos,porotos negros 500g,2,4462,8924,transferencia,6
2,carlos paz,74,alimentos,whisky 750ml,4,2953,11812,efectivo,8
50,carlos paz,59,alimentos,chicle menta,5,3612,18060,tarjeta_credito,1
21,alta gracia,97,limpieza,limpiavidrios 500ml,5,872,4360,tarjeta_debito,10
71,villa maria,50,alimentos,azúcar 1kg,5,727,3635,tarjeta_debito,6
24,villa maria,61,alimentos,miel pura 250g,1,4982,4982,tarjeta_debito,3
66,villa maria,47,alimentos,garbanzos 500g,2,2939,5878,transferencia,9
26,alta gracia,22,alimentos,medialunas de manteca,4,2069,8276,tarjeta_debito,12
42,alta gracia,68,alimentos,vino blanco 750ml,4,2684,10736,tarjeta_debito,6
93,alta gracia,64,alimentos,avena instantánea 250g,1,3953,3953,tarjeta_debito,10
12,alta gracia,9,alimentos,yerba mate suave 1kg,4,3878,15512,transferencia,2
17,villa maria,90,higiene personal,toallas húmedas x50,3,2902,8706,tarjeta_debito,8
62,carlos paz,53,limpieza,lavandina 1l,1,1664,1664,tarjeta_credito,5
29,alta gracia,16,alimentos,yogur natural 200g,2,4613,9226,transferencia,5
34,villa maria,34,alimentos,turrón 50g,5,503,2515,tarjeta_debito,2
7,rio cuarto,44,alimentos,arroz largo fino 1kg,5,2979,14895,tarjeta_credito,3
85,mendiolaza,41,alimentos,aceite de girasol 1l,1,860,860,tarjeta_credito,4
94,mendiolaza,77,alimentos,empanadas congeladas,3,4778,14334,transferencia,8
53,mendiolaza,51,alimentos,sal fina 500g,3,1745,5235,transferencia,12
60,alta gracia,62,alimentos,stevia 100 sobres,3,3848,11544,tarjeta_debito,11
1,carlos paz,62,alimentos,stevia 100 sobres,3,3848,11544,tarjeta_credito,1
81,carlos paz,87,alimentos,sopa instantánea pollo,3,1679,5037,efectivo,1
37,mendiolaza,60,alimentos,chupetín,1,4647,4647,tarjeta_credito,2
11,villa maria,70,alimentos,fernet 750ml,2,4061,8122,efectivo,2
79,carlos paz,75,alimentos,licor de café 700ml,5,3204,16020,efectivo,8
37,mendiolaza,3,alimentos,sprite 1.5l,5,4964,24820,tarjeta_debito,2
42,alta gracia,50,alimentos,azúcar 1kg,5,727,3635,transferencia,11
1,carlos paz,16,alimentos,yogur natural 200g,3,4613,13839,tarjeta_debito,1
94,mendiolaza,39,alimentos,helado vainilla 1l,1,469,469,efectivo,5
93,alta gracia,77,alimentos,empanadas congeladas,1,4778,4778,tarjeta_debito,8
30,alta gracia,57,limpieza,servilletas x100,5,4520,22600,tarjeta_debito,2
73,alta gracia,23,alimentos,bizcochos salados,5,2380,11900,transferencia,5
63,cordoba,77,alimentos,empanadas congeladas,3,4778,14334,tarjeta_debito,10
95,rio cuarto,31,alimentos,mix de frutos secos 200g,2,3409,6818,tarjeta_credito,1
100,cordoba,43,alimentos,salsa de tomate 500g,5,887,4435,efectivo,6
46,alta gracia,16,alimentos,yogur natural 200g,2,4613,9226,tarjeta_debito,5
91,mendiolaza,50,alimentos,azúcar 1kg,2,727,1454,tarjeta_credito,1
90,rio cuarto,29,alimentos,papas fritas onduladas 100g,5,1868,9340,tarjeta_debito,6
26,alta gracia,62,alimentos,stevia 100 sobres,4,3848,15392,tarjeta_credito,2
95,rio cuarto,44,alimentos,arroz largo fino 1kg,1,2979,2979,tarjeta_credito,12
69,rio cuarto,58,alimentos,caramelos masticables,1,4752,4752,tarjeta_credito,2
58,rio cuarto,58,alimentos,caramelos masticables,1,4752,4752,transferencia,4
42,alta gracia,11,alimentos,café molido 250g,5,2053,10265,transferencia,11
87,alta gracia,56,limpieza,papel higiénico x4,3,2532,7596,tarjeta_credito,1
100,cordoba,56,limpieza,papel higiénico x4,5,2532,12660,transferencia,11
32,mendiolaza,84,alimentos,queso azul 150g,3,1645,4935,tarjeta_debito,12
69,rio cuarto,60,alimentos,chupetín,1,4647,4647,transferencia,7
83,rio cuarto,91,higiene personal,desodorante aerosol,2,4690,9380,transferencia,4
93,alta gracia,5,alimentos,agua mineral 500ml,1,4777,4777,tarjeta_debito,5
75,rio cuarto,40,alimentos,helado chocolate 1l,2,1215,2430,efectivo,7
71,villa maria,56,limpieza,papel higiénico x4,3,2532,7596,transferencia,3
57,rio cuarto,69,alimentos,sidra 750ml,3,744,2232,tarjeta_debito,1
36,mendiolaza,47,alimentos,garbanzos 500g,5,2939,14695,tarjeta_debito,9
37,mendiolaza,7,alimentos,jugo de manzana 1l,4,3269,13076,tarjeta_credito,10
32,mendiolaza,82,alimentos,aceitunas negras 200g,3,2394,7182,tarjeta_credito,9
15,cordoba,94,higiene personal,hilo dental,3,1418,4254,tarjeta_debito,4
22,alta gracia,92,higiene personal,crema dental 90g,2,2512,5024,efectivo,10
76,mendiolaza,43,alimentos,salsa de tomate 500g,5,887,4435,efectivo,2
19,mendiolaza,97,limpieza,limpiavidrios 500ml,1,872,872,tarjeta_credito,10
47,alta gracia,100,limpieza,trapo de piso,4,4854,19416,efectivo,4
42,alta gracia,58,alimentos,caramelos masticables,1,4752,4752,transferencia,10
58,rio cuarto,11,alimentos,café molido 250g,3,2053,6159,tarjeta_credito,7
55,mendiolaza,4,alimentos,fanta naranja 1.5l,4,2033,8132,tarjeta_credito,10
69,rio cuarto,88,alimentos,caldo concentrado carne,2,2570,5140,transferencia,9
46,alta gracia,37,alimentos,mermelada de durazno 400g,1,3196,3196,tarjeta_credito,10
28,cordoba,71,alimentos,vodka 700ml,3,508,1524,tarjeta_credito,9
29,alta gracia,36,alimentos,dulce de leche 400g,5,2559,12795,tarjeta_credito,5
54,alta gracia,60,alimentos,chupetín,1,4647,4647,tarjeta_debito,6
97,cordoba,77,alimentos,empanadas congeladas,3,4778,14334,tarjeta_debito,11
83,rio cuarto,5,alimentos,agua mineral 500ml,4,4777,19108,tarjeta_credito,12
23,rio cuarto,12,alimentos,té negro 20 saquitos,5,570,2850,tarjeta_credito,12
9,carlos paz,56,limpieza,papel higiénico x4,4,2532,10128,efectivo,5
9,carlos paz,66,alimentos,cerveza negra 1l,3,1533,4599,tarjeta_debito,4
74,carlos paz,63,alimentos,granola 250g,2,4337,8674,tarjeta_debito,4
75,rio cuarto,63,alimentos,granola 250g,1,4337,4337,transferencia,4
29,alta gracia,3,alimentos,sprite 1.5l,2,4964,9928,efectivo,1
28,cordoba,45,alimentos,fideos spaghetti 500g,5,745,3725,transferencia,2
62,carlos paz,35,alimentos,barrita de cereal 30g,4,4430,17720,tarjeta_credito,5
94,mendiolaza,95,higiene personal,mascarilla capilar,2,1581,3162,transferencia,11
79,carlos paz,76,alimentos,pizza congelada muzzarella,1,4286,4286,transferencia,3
65,alta gracia,23,alimentos,bizcochos salados,4,2380,9520,tarjeta_credito,11
9,carlos paz,17,alimentos,queso cremoso 500g,3,4834,14502,tarjeta_debito,12
38,alta gracia,65,alimentos,cerveza rubia 1l,3,2423,7269,efectivo,9
65,alta gracia,79,alimentos,hamburguesas congeladas x4,5,2420,12100,transferencia,3
95,rio cuarto,41,alimentos,aceite de girasol 1l,4,860,3440,tarjeta_credito,5
70,carlos paz,98,limpieza,desengrasante 500ml,1,2843,2843,transferencia,11
5,cordoba,7,alimentos,jugo de manzana 1l,5,3269,16345,tarjeta_credito,1
85,mendiolaza,55,higiene personal,shampoo 400ml,2,1407,2814,tarjeta_debito,2
24,villa maria,6,alimentos,jugo de naranja 1l,5,4170,20850,tarjeta_debito,6
66,villa maria,67,alimentos,vino tinto malbec 750ml,3,4719,14157,efectivo,4
28,cordoba,30,alimentos,maní salado 200g,1,4875,4875,efectivo,2
58,rio cuarto,6,alimentos,jugo de naranja 1l,4,4170,16680,efectivo,5
46,alta gracia,45,alimentos,fideos spaghetti 500g,5,745,3725,tarjeta_credito,5
93,alta gracia,9,alimentos,yerba mate suave 1kg,4,3878,15512,efectivo,11
81,carlos paz,35,alimentos,barrita de cereal 30g,3,4430,13290,tarjeta_credito,5
40,rio cuarto,74,alimentos,whisky 750ml,1,2953,2953,efectivo,4
35,mendiolaza,88,alimentos,caldo concentrado carne,5,2570,12850,tarjeta_credito,11
77,villa maria,74,alimentos,whisky 750ml,4,2953,11812,transferencia,7
72,cordoba,73,alimentos,gin 700ml,2,1561,3122,efectivo,9
51,rio cuarto,32,alimentos,chocolate amargo 100g,3,2234,6702,tarjeta_debito,9
5,cordoba,15,alimentos,leche descremada 1l,2,2538,5076,tarjeta_credito,8
76,mendiolaza,82,alimentos,aceitunas negras 200g,3,2394,7182,tarjeta_debito,8
90,rio cuarto,94,higiene personal,hilo dental,3,1418,4254,tarjeta_credito,1
12,alta gracia,38,alimentos,mermelada de frutilla 400g,5,1584,7920,transferencia,2
88,villa maria,19,alimentos,manteca 200g,4,3251,13004,efectivo,9
1,carlos paz,87,alimentos,sopa instantánea pollo,2,1679,3358,tarjeta_debito,5
77,villa maria,81,alimentos,aceitunas verdes 200g,1,2520,2520,tarjeta_debito,7
24,villa maria,87,alimentos,sopa instantánea pollo,1,1679,1679,tarjeta_debito,2
1,carlos paz,27,alimentos,alfajor simple,1,2502,2502,tarjeta_debito,4
38,alta gracia,24,alimentos,galletitas chocolate,5,1305,6525,transferencia,10
53,mendiolaza,33,alimentos,chocolate con leche 100g,3,1255,3765,efectivo,10
82,alta gracia,88,alimentos,caldo concentrado carne,5,2570,12850,transferencia,2
73,alta gracia,98,limpieza,desengrasante 500ml,1,2843,2843,efectivo,6
66,villa maria,30,alimentos,maní salado 200g,3,4875,14625,efectivo,8
52,rio cuarto,46,alimentos,lentejas secas 500g,4,3036,12144,tarjeta_credito,12
11,villa maria,96,limpieza,suavizante 1l,5,4920,24600,tarjeta_credito,6
54,alta gracia,48,alimentos,porotos negros 500g,3,4462,13386,transferencia,9
20,rio cuarto,20,alimentos,pan lactal blanco,2,1571,3142,tarjeta_debito,6
72,cordoba,20,alimentos,pan lactal blanco,4,1571,6284,transferencia,3
37,mendiolaza,48,alimentos,porotos negros 500g,1,4462,4462,transferencia,10
78,villa maria,34,alimentos,turrón 50g,2,503,1006,transferencia,6
52,rio cuarto,60,alimentos,chupetín,4,4647,18588,tarjeta_debito,4
5,cordoba,80,alimentos,helado de frutilla 1l,5,1981,9905,transferencia,10
5,cordoba,38,alimentos,mermelada de frutilla 400g,2,1584,3168,tarjeta_debito,6
74,carlos paz,82,alimentos,aceitunas negras 200g,1,2394,2394,tarjeta_debito,11
46,alta gracia,97,limpieza,limpiavidrios 500ml,1,872,872,tarjeta_credito,2
95,rio cuarto,55,higiene personal,shampoo 400ml,5,1407,7035,transferencia,2
51,rio cuarto,90,higiene personal,toallas húmedas x50,3,2902,8706,transferencia,4
77,villa maria,29,alimentos,papas fritas onduladas 100g,2,1868,3736,tarjeta_debito,12
88,villa maria,97,limpieza,limpiavidrios 500ml,4,872,3488,tarjeta_debito,8
2,carlos paz,62,alimentos,stevia 100 sobres,2,3848,7696,tarjeta_debito,3
28,cordoba,97,limpieza,limpiavidrios 500ml,2,872,1744,transferencia,2
17,villa maria,5,alimentos,agua mineral 500ml,3,4777,14331,transferencia,5
40,rio cuarto,50,alimentos,azúcar 1kg,2,727,1454,transferencia,5
39,alta gracia,70,alimentos,fernet 750ml,2,4061,8122,tarjeta_debito,2
