id_venta,id_cliente,fecha,medio_pago,monto_total,mes,trimestre
70,70,2024-12-25,Tarjeta Credito,8132,12,4
71,164,2024-02-25,Transferencia,7224,2,1
72,228,2024-07-25,Billetera Virtual,14649,7,3
73,152,2024-10-10,Billetera Virtual,3765,10,4
74,47,2024-10-16,Tarjeta Credito,3122,10,4
75,52,2024-05-22,Billetera Virtual,7924,5,2
76,183,2024-12-11,Efectivo,12600,12,4
77,84,2024-11-07,Tarjeta Credito,7800,11,4
78,84,2024-07-03,Efectivo,3612,7,3
79,168,2024-12-16,Billetera Virtual,272,12,4
80,237,2024-06-30,Transferencia,4690,6,2
81,166,2024-11-11,Billetera Virtual,4284,11,4
82,12,2024-06-18,Tarjeta Debito,1868,6,2
83,80,2024-04-11,Tarjeta Credito,8937,4,2
84,128,2024-05-05,Efectivo,3876,5,2
85,29,2024-10-10,Efectivo,5024,10,4
86,100,2024-02-19,Transferencia,6600,2,1
87,141,2024-06-03,Billetera Virtual,10736,6,2
88,29,2024-05-08,Tarjeta Debito,19892,5,2
89,213,2024-05-07,Efectivo,5686,5,2
90,199,2024-05-05,Efectivo,4015,5,2
91,241,2024-02-13,Tarjeta Credito,10008,2,1
92,169,2024-08-16,Tarjeta Credito,12784,8,3
93,246,2024-12-27,Efectivo,18876,12,4
94,166,2024-09-28,Tarjeta Credito,6336,9,3
95,242,2024-07-25,Billetera Virtual,11544,7,3
96,171,2024-09-23,Transferencia,3600,9,3
97,137,2024-01-22,Tarjeta Debito,15812,1,1
98,163,2024-05-02,Tarjeta Credito,16500,5,2
99,231,2024-04-02,Billetera Virtual,12045,4,2
100,102,2024-03-27,Efectivo,1407,3,1
101,7,2024-10-29,Tarjeta Credito,7756,10,4
102,184,2024-08-19,Billetera Virtual,2235,8,3
103,57,2024-02-17,Tarjeta Debito,5200,2,1
104,46,2024-03-25,Tarjeta Debito,6207,3,1
105,18,2024-02-11,Efectivo,4218,2,1
106,154,2024-11-28,Billetera Virtual,6244,11,4
107,249,2024-02-09,Efectivo,4200,2,1
108,68,2024-04-28,Transferencia,5672,4,2
109,111,2024-10-18,Tarjeta Credito,9668,10,4
110,143,2024-11-04,Tarjeta Debito,5118,11,4
111,32,2024-03-03,Efectivo,887,3,1
112,104,2024-07-26,Efectivo,9720,7,3
113,129,2024-12-27,Tarjeta Debito,2400,12,4
114,69,2024-08-04,Tarjeta Debito,2559,8,3
115,191,2024-09-15,Efectivo,16244,9,3
116,25,2024-04-28,Efectivo,2800,4,2
117,181,2024-10-28,Transferencia,4935,10,4
118,128,2024-01-17,Billetera Virtual,9108,1,1
119,174,2024-05-20,Transferencia,28500,5,2
120,213,2024-05-07,Transferencia,4683,5,2
121,203,2024-07-31,Efectivo,7596,7,3
122,120,2024-04-06,Billetera Virtual,2200,4,2
123,6,2024-09-27,Tarjeta Debito,2502,9,3
124,85,2024-05-26,Tarjeta Debito,4840,5,2
125,157,2024-05-20,Tarjeta Credito,5400,5,2
126,31,2024-02-14,Transferencia,9840,2,1
127,106,2024-01-17,Efectivo,4284,1,1
128,192,2024-05-10,Billetera Virtual,2069,5,2
129,155,2024-09-12,Tarjeta Credito,6368,9,3
130,69,2024-05-14,Billetera Virtual,6400,5,2
131,103,2024-01-16,Billetera Virtual,4400,1,1
132,226,2024-05-03,Efectivo,1100,5,2
133,182,2024-08-27,Billetera Virtual,2033,8,3
134,97,2024-10-08,Transferencia,1800,10,4
135,189,2024-04-07,Transferencia,10400,4,2
136,84,2024-05-02,Billetera Virtual,10000,5,2
137,97,2024-03-07,Tarjeta Credito,6207,3,1
138,140,2024-06-28,Efectivo,3712,6,2
139,138,2024-04-07,Transferencia,4780,4,2
140,153,2024-05-21,Tarjeta Credito,15600,5,2
141,80,2024-04-16,Billetera Virtual,2661,4,2
142,128,2024-05-14,Transferencia,600,5,2
143,209,2024-06-18,Tarjeta Debito,19008,6,2
144,167,2024-02-10,Tarjeta Credito,13386,2,1
145,64,2024-11-13,Billetera Virtual,10048,11,4
146,113,2024-09-27,Transferencia,3585,9,3
147,249,2024-08-03,Efectivo,10008,8,3
148,179,2024-12-09,Tarjeta Debito,4200,12,4
149,98,2024-06-10,Tarjeta Debito,13636,6,2
150,132,2024-07-03,Billetera Virtual,4400,7,3
151,108,2024-10-26,Transferencia,2033,10,4
152,182,2024-06-02,Billetera Virtual,22000,6,2
153,135,2024-04-13,Billetera Virtual,9554,4,2
154,50,2024-10-11,Tarjeta Credito,19336,10,4
155,204,2024-03-15,Transferencia,5628,3,1
156,195,2024-10-26,Transferencia,727,10,4
157,226,2024-09-01,Billetera Virtual,7260,9,3
158,123,2024-12-28,Tarjeta Debito,6502,12,4
159,71,2024-09-14,Tarjeta Debito,5118,9,3
160,84,2024-11-13,Billetera Virtual,10152,11,4
161,184,2024-05-22,Transferencia,6207,5,2
162,220,2024-07-27,Tarjeta Credito,2600,7,3
163,176,2024-07-09,Billetera Virtual,6072,7,3
164,248,2024-12-12,Efectivo,5600,12,4
165,23,2024-05-22,Transferencia,1300,5,2
166,128,2024-02-19,Tarjeta Debito,4776,2,1
167,179,2024-04-11,Transferencia,1561,4,2
168,128,2024-11-28,Efectivo,5200,11,4
169,172,2024-06-07,Tarjeta Credito,4468,6,2
170,114,2024-01-24,Tarjeta Credito,3200,1,1
171,12,2024-02-16,Transferencia,8860,2,1
172,61,2024-03-28,Efectivo,11756,3,1
173,126,2024-02-05,Billetera Virtual,4800,2,1
174,128,2024-08-25,Tarjeta Credito,9500,8,3
175,40,2024-05-23,Efectivo,4694,5,2
176,243,2024-06-02,Billetera Virtual,11200,6,2
177,207,2024-02-04,Billetera Virtual,2033,2,1
178,115,2024-10-07,Efectivo,4752,10,4
179,154,2024-09-12,Efectivo,4883,9,3
180,49,2024-12-30,Efectivo,2142,12,4
181,56,2024-10-28,Transferencia,2600,10,4
182,200,2024-05-02,Tarjeta Debito,4854,5,2
183,248,2024-03-28,Billetera Virtual,3066,3,1
184,159,2024-05-11,Tarjeta Debito,872,5,2
185,73,2024-03-04,Efectivo,13076,3,1
186,113,2024-10-29,Billetera Virtual,887,10,4
187,221,2024-12-18,Tarjeta Credito,17156,12,4
188,175,2024-10-18,Billetera Virtual,1876,10,4
189,176,2024-03-31,Tarjeta Credito,3200,3,1
190,31,2024-03-07,Transferencia,1981,3,1
191,76,2024-10-18,Tarjeta Debito,2200,10,4
192,107,2024-04-09,Billetera Virtual,6159,4,2
193,120,2024-01-17,Efectivo,6000,1,1
194,16,2024-11-05,Tarjeta Credito,3162,11,4
195,23,2024-05-18,Tarjeta Debito,7536,5,2
196,76,2024-04-08,Tarjeta Credito,7320,4,2
197,87,2024-11-11,Tarjeta Debito,19500,11,4
198,64,2024-05-13,Tarjeta Debito,8212,5,2
199,181,2024-02-02,Efectivo,9964,2,1
200,212,2024-01-30,Efectivo,1723,1,1
201,212,2024-03-24,Billetera Virtual,1255,3,1
202,164,2024-11-06,Tarjeta Debito,10500,11,4
203,227,2024-11-16,Billetera Virtual,2700,11,4
204,217,2024-03-21,Tarjeta Debito,9692,3,1
205,246,2024-02-15,Tarjeta Debito,4004,2,1
206,50,2024-04-05,Billetera Virtual,16060,4,2
207,205,2024-05-29,Transferencia,2939,5,2
208,136,2024-01-04,Tarjeta Credito,7536,1,1
209,114,2024-10-15,Tarjeta Debito,3600,10,4
210,102,2024-08-14,Tarjeta Credito,2390,8,3
211,100,2024-11-01,Transferencia,4106,11,4
212,59,2024-12-17,Tarjeta Credito,9576,12,4
213,40,2024-12-13,Tarjeta Debito,14448,12,4
214,227,2024-10-02,Transferencia,10152,10,4
215,167,2024-02-15,Tarjeta Credito,3000,2,1
216,91,2024-08-09,Tarjeta Credito,2181,8,3
217,204,2024-02-06,Efectivo,6400,2,1
218,22,2024-08-18,Tarjeta Debito,3488,8,3
219,197,2024-11-03,Tarjeta Debito,3200,11,4
220,62,2024-09-07,Billetera Virtual,14000,9,3
221,213,2024-04-24,Tarjeta Debito,8572,4,2
222,164,2024-10-23,Transferencia,15392,10,4
223,245,2024-09-29,Tarjeta Debito,1100,9,3
224,24,2024-03-14,Transferencia,1100,3,1
225,99,2024-03-05,Transferencia,2976,3,1
226,153,2024-11-16,Tarjeta Debito,1500,11,4
227,147,2024-06-14,Efectivo,14070,6,2
228,118,2024-09-21,Tarjeta Credito,3876,9,3
229,207,2024-11-10,Efectivo,19928,11,4
230,228,2024-12-15,Billetera Virtual,13076,12,4
231,249,2024-01-15,Tarjeta Credito,544,1,1
232,24,2024-06-17,Tarjeta Debito,2520,6,2
233,32,2024-11-17,Efectivo,14070,11,4
234,69,2024-04-27,Billetera Virtual,14256,4,2
235,213,2024-02-05,Transferencia,4613,2,1
236,10,2024-07-02,Efectivo,3962,7,3
237,228,2024-04-12,Billetera Virtual,1800,4,2
238,146,2024-02-17,Transferencia,1140,2,1
239,202,2024-11-15,Billetera Virtual,2012,11,4
240,37,2024-01-20,Efectivo,8706,1,1
241,149,2024-09-04,Tarjeta Debito,9708,9,3
242,143,2024-10-17,Tarjeta Credito,3328,10,4
243,56,2024-12-20,Tarjeta Debito,12784,12,4
244,127,2024-03-15,Efectivo,1876,3,1
245,222,2024-10-31,Efectivo,7614,10,4
246,36,2024-11-11,Tarjeta Debito,9668,11,4
247,175,2024-01-25,Efectivo,11916,1,1
248,239,2024-12-12,Transferencia,9946,12,4
249,112,2024-11-27,Billetera Virtual,544,11,4
250,241,2024-04-20,Tarjeta Credito,4218,4,2
251,30,2024-12-16,Billetera Virtual,5024,12,4
252,213,2024-06-01,Transferencia,9766,6,2
253,89,2024-05-15,Tarjeta Debito,4846,5,2
254,123,2024-01-14,Transferencia,10328,1,1
255,249,2024-04-15,Efectivo,13290,4,2
256,151,2024-07-11,Tarjeta Credito,4599,7,3
257,229,2024-07-15,Tarjeta Debito,10080,7,3
258,198,2024-02-01,Efectivo,8180,2,1
259,162,2024-08-13,Efectivo,4800,8,3
260,146,2024-10-18,Billetera Virtual,9692,10,4
261,227,2024-05-21,Billetera Virtual,6426,5,2
262,124,2024-09-15,Tarjeta Credito,11000,9,3
263,97,2024-04-19,Transferencia,3900,4,2
264,150,2024-04-30,Tarjeta Debito,22000,4,2
265,179,2024-08-01,Tarjeta Debito,6392,8,3
266,230,2024-07-15,Tarjeta Credito,1215,7,3
267,119,2024-10-21,Efectivo,4690,10,4
268,89,2024-04-01,Tarjeta Debito,9720,4,2
269,203,2024-11-13,Transferencia,6244,11,4
270,21,2024-09-23,Transferencia,3000,9,3
271,62,2024-06-23,Tarjeta Credito,8030,6,2
272,58,2024-01-31,Tarjeta Debito,1876,1,1
273,169,2024-04-26,Efectivo,9500,4,2
274,8,2024-11-20,Efectivo,2400,11,4
275,177,2024-08-30,Tarjeta Debito,1400,8,3
276,133,2024-11-11,Billetera Virtual,10400,11,4
277,32,2024-10-26,Billetera Virtual,9226,10,4
278,92,2024-05-03,Efectivo,19000,5,2
279,114,2024-07-09,Efectivo,5958,7,3
280,19,2024-01-09,Efectivo,9680,1,1
281,183,2024-02-01,Transferencia,8212,2,1
282,160,2024-07-21,Tarjeta Debito,2200,7,3
283,179,2024-03-13,Tarjeta Debito,3142,3,1
284,237,2024-11-06,Billetera Virtual,10236,11,4
285,220,2024-11-13,Billetera Virtual,2814,11,4
286,109,2024-05-01,Billetera Virtual,6580,5,2
287,228,2024-02-16,Billetera Virtual,6400,2,1
288,218,2024-03-28,Tarjeta Debito,2420,3,1
289,92,2024-04-10,Efectivo,4400,4,2
290,129,2024-04-19,Tarjeta Credito,2380,4,2
291,88,2024-11-01,Tarjeta Credito,4286,11,4
292,32,2024-10-18,Transferencia,7224,10,4
293,36,2024-07-31,Transferencia,1745,7,3
294,37,2024-08-07,Efectivo,2280,8,3
295,134,2024-10-09,Efectivo,16680,10,4
296,189,2024-06-20,Tarjeta Credito,16244,6,2
297,142,2024-01-16,Efectivo,5943,1,1
298,115,2024-01-06,Tarjeta Debito,6324,1,1
299,207,2024-03-17,Billetera Virtual,8859,3,1
300,12,2024-11-29,Transferencia,18588,11,4
301,209,2024-07-04,Tarjeta Credito,2142,7,3
302,30,2024-04-29,Efectivo,3036,4,2
303,97,2024-04-30,Billetera Virtual,6656,4,2
304,162,2024-02-05,Transferencia,4599,2,1
305,4,2024-01-22,Tarjeta Debito,2700,1,1
306,30,2024-07-05,Tarjeta Credito,3300,7,3
307,87,2024-10-25,Billetera Virtual,3300,10,4
308,162,2024-06-22,Efectivo,3600,6,2
309,143,2024-07-24,Tarjeta Debito,13636,7,3
310,132,2024-04-11,Tarjeta Debito,3736,4,2
311,197,2024-09-20,Efectivo,19008,9,3
312,190,2024-02-22,Transferencia,14334,2,1
313,195,2024-11-21,Efectivo,4992,11,4
314,243,2024-02-16,Tarjeta Debito,1800,2,1
315,186,2024-11-07,Efectivo,469,11,4
316,159,2024-11-01,Billetera Virtual,4066,11,4
317,104,2024-06-22,Tarjeta Credito,16060,6,2
318,144,2024-04-15,Transferencia,10280,4,2
319,151,2024-03-27,Tarjeta Credito,10400,3,1
320,227,2024-04-02,Transferencia,14502,4,2
321,61,2024-11-25,Billetera Virtual,14000,11,4
322,111,2024-05-10,Tarjeta Debito,10128,5,2
323,130,2024-10-26,Transferencia,10128,10,4
324,161,2024-12-06,Tarjeta Credito,8578,12,4
325,2,2024-04-10,Billetera Virtual,13776,4,2
326,58,2024-04-21,Efectivo,10236,4,2
327,76,2024-12-01,Tarjeta Debito,8212,12,4
328,170,2024-04-16,Tarjeta Debito,14256,4,2
329,240,2024-10-06,Tarjeta Debito,4777,10,4
330,162,2024-10-28,Tarjeta Debito,4400,10,4
331,169,2024-02-21,Billetera Virtual,7269,2,1
332,220,2024-07-06,Tarjeta Debito,5906,7,3
333,209,2024-07-24,Tarjeta Debito,2976,7,3
334,202,2024-05-18,Billetera Virtual,887,5,2
335,223,2024-07-21,Tarjeta Debito,4780,7,3
336,157,2024-09-10,Billetera Virtual,4400,9,3
337,79,2024-11-20,Efectivo,938,11,4
338,202,2024-03-09,Efectivo,7746,3,1
339,181,2024-04-22,Billetera Virtual,6580,4,2
340,26,2024-10-12,Efectivo,9504,10,4
341,93,2024-07-24,Billetera Virtual,11756,7,3
342,143,2024-01-13,Efectivo,12784,1,1
343,86,2024-09-04,Transferencia,6132,9,3
344,95,2024-08-15,Tarjeta Credito,10080,8,3
345,24,2024-07-30,Transferencia,2908,7,3
346,113,2024-10-02,Tarjeta Credito,1200,10,4
347,12,2024-08-26,Efectivo,1006,8,3
348,104,2024-04-25,Tarjeta Debito,1305,4,2
349,87,2024-10-01,Billetera Virtual,4430,10,4
350,28,2024-03-03,Billetera Virtual,5568,3,1
351,25,2024-03-29,Tarjeta Credito,2012,3,1
352,206,2024-08-09,Billetera Virtual,6980,8,3
353,225,2024-06-28,Transferencia,5400,6,2
354,43,2024-03-08,Tarjeta Debito,600,3,1
355,121,2024-06-03,Transferencia,16060,6,2
356,144,2024-03-06,Tarjeta Debito,3848,3,1
357,5,2024-03-28,Tarjeta Credito,19856,3,1
358,148,2024-08-20,Billetera Virtual,900,8,3
359,146,2024-06-13,Tarjeta Debito,4920,6,2
360,232,2024-03-08,Tarjeta Debito,2953,3,1
361,217,2024-02-11,Tarjeta Credito,2420,2,1
362,166,2024-08-07,Tarjeta Credito,9380,8,3
363,235,2024-04-19,Tarjeta Debito,2423,4,2
364,48,2024-12-15,Tarjeta Debito,2423,12,4
365,237,2024-12-30,Billetera Virtual,6207,12,4
366,191,2024-06-30,Efectivo,2235,6,2
367,47,2024-04-08,Efectivo,5037,4,2
368,174,2024-01-09,Billetera Virtual,1016,1,1
369,208,2024-12-22,Transferencia,2600,12,4
370,165,2024-10-22,Tarjeta Credito,12045,10,4
371,184,2024-11-29,Tarjeta Credito,19856,11,4
372,232,2024-11-26,Tarjeta Debito,2380,11,4
373,144,2024-02-08,Efectivo,3290,2,1
374,170,2024-01-18,Transferencia,7182,1,1
375,109,2024-09-21,Billetera Virtual,5164,9,3
376,122,2024-02-29,Tarjeta Debito,1800,2,1
377,122,2024-11-24,Tarjeta Credito,16680,11,4
378,65,2024-09-13,Billetera Virtual,3900,9,3
379,80,2024-12-24,Billetera Virtual,18760,12,4
380,247,2024-01-20,Tarjeta Credito,4854,1,1
381,133,2024-07-30,Billetera Virtual,4854,7,3
382,213,2024-12-13,Billetera Virtual,6980,12,4
383,191,2024-07-23,Billetera Virtual,2808,7,3
384,16,2024-10-30,Efectivo,16800,10,4
385,119,2024-08-27,Tarjeta Debito,1509,8,3
386,156,2024-11-16,Tarjeta Debito,4883,11,4
387,211,2024-03-06,Tarjeta Credito,18876,3,1
388,185,2024-02-09,Tarjeta Debito,1509,2,1
389,120,2024-08-01,Transferencia,19532,8,3
390,104,2024-10-07,Tarjeta Debito,3712,10,4
391,184,2024-05-05,Tarjeta Credito,4138,5,2
392,101,2024-05-18,Tarjeta Debito,7560,5,2
393,74,2024-07-29,Tarjeta Debito,3409,7,3
394,116,2024-05-27,Billetera Virtual,9807,5,2
395,56,2024-02-06,Tarjeta Debito,4776,2,1
396,118,2024-06-12,Efectivo,19928,6,2
397,186,2024-01-28,Transferencia,4800,1,1
398,238,2024-07-05,Efectivo,8340,7,3
399,250,2024-09-10,Efectivo,12858,9,3
400,159,2024-02-11,Billetera Virtual,1664,2,1
401,52,2024-01-04,Transferencia,7756,1,1
402,189,2024-08-16,Transferencia,5220,8,3
403,153,2024-11-05,Tarjeta Credito,4694,11,4
404,223,2024-11-03,Tarjeta Credito,8800,11,4
405,11,2024-03-08,Efectivo,4760,3,1
406,177,2024-08-05,Efectivo,4694,8,3
407,181,2024-02-23,Billetera Virtual,4106,2,1
408,156,2024-04-08,Tarjeta Credito,7800,4,2
409,192,2024-11-27,Billetera Virtual,3962,11,4
410,118,2024-09-28,Tarjeta Debito,17720,9,3
411,226,2024-10-16,Tarjeta Credito,31200,10,4
412,97,2024-03-20,Tarjeta Debito,5672,3,1
413,151,2024-12-05,Tarjeta Credito,2661,12,4
414,212,2024-09-13,Billetera Virtual,6426,9,3
415,245,2024-09-08,Efectivo,5024,9,3
416,240,2024-09-19,Billetera Virtual,11400,9,3
417,151,2024-08-10,Tarjeta Credito,12270,8,3
418,74,2024-01-04,Tarjeta Credito,14892,1,1
419,199,2024-10-07,Billetera Virtual,4992,10,4
420,13,2024-01-28,Efectivo,11916,1,1
421,42,2024-01-05,Billetera Virtual,13004,1,1
422,74,2024-02-01,Tarjeta Debito,4221,2,1
423,95,2024-01-02,Tarjeta Debito,5000,1,1
424,238,2024-07-19,Tarjeta Credito,4760,7,3
425,74,2024-09-04,Transferencia,17156,9,3
426,232,2024-05-19,Billetera Virtual,1533,5,2
427,234,2024-04-02,Billetera Virtual,2600,4,2
428,6,2024-02-02,Tarjeta Debito,7536,2,1
429,161,2024-03-29,Transferencia,2843,3,1
430,50,2024-11-03,Billetera Virtual,12045,11,4
431,65,2024-04-19,Tarjeta Debito,5600,4,2
432,212,2024-11-28,Billetera Virtual,6426,11,4
433,24,2024-10-18,Billetera Virtual,3142,10,4
434,39,2024-11-23,Billetera Virtual,872,11,4
435,141,2024-03-13,Efectivo,3168,3,1
436,211,2024-08-09,Billetera Virtual,2400,8,3
437,135,2024-10-06,Tarjeta Credito,3962,10,4
438,107,2024-02-06,Efectivo,1500,2,1
439,183,2024-09-03,Transferencia,8800,9,3
440,147,2024-06-29,Tarjeta Credito,6300,6,2
441,46,2024-05-06,Transferencia,3600,5,2
442,43,2024-05-18,Tarjeta Debito,4400,5,2
443,164,2024-07-24,Efectivo,3878,7,3
444,221,2024-05-30,Transferencia,7200,5,2
445,133,2024-11-10,Tarjeta Credito,3612,11,4
446,40,2024-10-01,Transferencia,5878,10,4
447,181,2024-10-29,Transferencia,3848,10,4
448,64,2024-04-14,Efectivo,1876,4,2
449,28,2024-11-23,Tarjeta Credito,5604,11,4
450,45,2024-10-27,Tarjeta Debito,1571,10,4
451,218,2024-09-06,Efectivo,4766,9,3
452,230,2024-07-19,Tarjeta Debito,11372,7,3
453,68,2024-07-29,Billetera Virtual,3915,7,3
454,205,2024-01-03,Tarjeta Debito,4200,1,1
455,144,2024-03-11,Tarjeta Credito,4683,3,1
456,3,2024-03-21,Efectivo,19000,3,1
457,131,2024-10-01,Tarjeta Debito,1872,10,4
458,91,2024-03-25,Transferencia,3036,3,1
459,211,2024-06-20,Tarjeta Credito,4776,6,2
460,232,2024-07-27,Billetera Virtual,2800,7,3
461,182,2024-01-13,Efectivo,3490,1,1
462,127,2024-10-23,Efectivo,1745,10,4
463,241,2024-11-11,Tarjeta Credito,3765,11,4
464,161,2024-04-19,Billetera Virtual,9840,4,2
465,124,2024-09-01,Transferencia,6392,9,3
466,249,2024-12-14,Efectivo,13011,12,4
467,31,2024-04-26,Transferencia,10048,4,2
468,17,2024-08-29,Tarjeta Credito,8706,8,3
469,70,2024-01-30,Tarjeta Credito,19008,1,1
470,115,2024-12-06,Efectivo,6600,12,4
471,154,2024-09-28,Transferencia,4846,9,3
472,38,2024-06-22,Tarjeta Credito,5200,6,2
473,3,2024-12-04,Tarjeta Debito,5200,12,4
474,73,2024-07-12,Efectivo,6500,7,3
475,219,2024-08-15,Tarjeta Debito,5400,8,3
476,116,2024-05-08,Transferencia,6656,5,2
477,14,2024-09-26,Tarjeta Credito,5628,9,3
478,36,2024-04-29,Efectivo,3962,4,2
479,45,2024-12-06,Tarjeta Debito,2006,12,4
480,229,2024-06-08,Transferencia,2232,6,2
481,111,2024-04-15,Tarjeta Credito,2383,4,2
482,180,2024-10-01,Tarjeta Credito,11544,10,4
483,21,2024-07-04,Transferencia,3204,7,3
484,204,2024-03-04,Efectivo,14562,3,1
485,227,2024-03-16,Tarjeta Debito,4860,3,1
486,188,2024-10-17,Tarjeta Debito,13386,10,4
487,175,2024-07-01,Billetera Virtual,3444,7,3
488,18,2024-05-31,Tarjeta Debito,3962,5,2
489,30,2024-03-16,Efectivo,4647,3,1
490,30,2024-04-30,Transferencia,4743,4,2
491,176,2024-06-17,Transferencia,7696,6,2
492,78,2024-05-17,Tarjeta Debito,10836,5,2
493,22,2024-05-31,Billetera Virtual,887,5,2
494,79,2024-09-26,Billetera Virtual,6368,9,3
495,89,2024-01-17,Billetera Virtual,4719,1,1
496,239,2024-05-20,Tarjeta Debito,12654,5,2
497,73,2024-11-24,Efectivo,2420,11,4
498,146,2024-09-23,Billetera Virtual,3600,9,3
499,32,2024-02-12,Efectivo,9388,2,1
500,194,2024-11-05,Efectivo,9612,11,4
501,149,2024-02-05,Tarjeta Credito,570,2,1
502,58,2024-12-17,Tarjeta Credito,10500,12,4
503,232,2024-03-09,Tarjeta Credito,8936,3,1
504,203,2024-09-28,Billetera Virtual,9108,9,3
505,91,2024-11-21,Billetera Virtual,1800,11,4
506,160,2024-04-15,Efectivo,2808,4,2
507,139,2024-11-10,Tarjeta Credito,6702,11,4
508,75,2024-12-31,Tarjeta Credito,1800,12,4
509,214,2024-11-17,Billetera Virtual,2420,11,4
510,33,2024-06-20,Tarjeta Debito,14562,6,2
511,239,2024-08-14,Tarjeta Debito,14331,8,3
512,224,2024-10-27,Tarjeta Debito,872,10,4
513,158,2024-08-08,Tarjeta Debito,3600,8,3
514,90,2024-09-02,Tarjeta Debito,6980,9,3
515,55,2024-03-04,Efectivo,19500,3,1
516,106,2024-01-11,Efectivo,6888,1,1
517,175,2024-02-08,Transferencia,7500,2,1
518,115,2024-06-14,Efectivo,5906,6,2
519,219,2024-11-27,Transferencia,816,11,4
520,76,2024-02-07,Tarjeta Debito,272,2,1
521,204,2024-12-29,Transferencia,4935,12,4
522,59,2024-07-30,Tarjeta Debito,10048,7,3
523,119,2024-08-23,Efectivo,3878,8,3
524,79,2024-01-21,Tarjeta Credito,5600,1,1
525,243,2024-09-02,Efectivo,4860,9,3
526,161,2024-02-22,Billetera Virtual,8936,2,1
527,209,2024-09-30,Tarjeta Credito,5235,9,3
528,120,2024-09-11,Billetera Virtual,1509,9,3
529,214,2024-03-23,Billetera Virtual,1088,3,1
530,112,2024-06-18,Billetera Virtual,13076,6,2
531,145,2024-11-10,Tarjeta Credito,9692,11,4
